SOC,0,1,2,3,4,5
11-1011.00,-1.6379586638084787,-0.765338789121417,0.3441953587833506,0.4195537148644622,1.9381091586098202,0.7984265490895802
11-1011.03,-1.7971904022378917,0.46364607906131455,0.3441953587833506,-0.2540568035108776,1.9381091586098202,0.11339579865728575
11-1021.00,-1.6379586638084787,-1.1187378713885543,-0.816812659734785,0.2486376131871372,1.9381091586098202,-0.3387244966280287
11-1031.00,-1.7971904022378917,0.11552160996234334,1.0394097411295395,0.922248131562477,1.9381091586098202,-0.7976950994176659
11-2011.00,-1.4739017211842351,-0.765338789121417,2.1934656158242136,-0.2540568035108776,1.9381091586098202,0.3463062538042658
11-2011.01,-1.7971904022378917,0.9911073958779375,1.4982512334780245,-0.2540568035108776,1.0168188525120234,-0.7976950994176659
11-2021.00,-1.7971904022378917,-0.5912765545719313,1.0394097411295395,-0.08314070183355264,1.9381091586098202,0.7984265490895802
11-2022.00,-0.8321495632717525,-0.765338789121417,-0.121598277388596,0.4195537148644622,1.9381091586098202,0.3463062538042658
11-2031.00,-1.6379586638084787,-1.1187378713885543,1.964044869649971,0.4195537148644622,1.9381091586098202,-0.3387244966280287
11-3011.00,-1.314669982754822,-0.5912765545719313,-0.816812659734785,-0.08314070183355264,1.9381091586098202,0.7984265490895802
11-3021.00,-0.3496291437886829,0.46364607906131455,-0.35101902356283843,-0.5858351185315674,1.7560577807581599,0.7984265490895802
11-3031.01,-1.4739017211842351,-0.4119397068542796,-0.816812659734785,-0.08314070183355264,1.3864383166350915,1.9424279023115119
11-3031.02,-1.4739017211842351,-0.9394010236709025,-0.5873919135605425,0.2486376131871372,1.9381091586098202,0.572366401446923
11-3051.00,-0.9913813017011655,-0.5912765545719313,-0.5873919135605425,0.2486376131871372,1.9381091586098202,1.2573971518792175
11-3051.01,-0.19039740535926986,-0.06381523775530838,-0.5873919135605425,-0.4199459610212225,1.9381091586098202,1.0313370042365602
11-3051.02,-0.5088608822180959,-0.06381523775530838,-0.121598277388596,-0.5858351185315674,1.9381091586098202,1.0313370042365602
11-3051.03,-0.3496291437886829,-0.06381523775530838,-0.5873919135605425,-0.4199459610212225,1.9381091586098202,1.0313370042365602
11-3051.04,0.13289127569438675,-0.23787747230479397,-0.5873919135605425,-0.4199459610212225,1.9381091586098202,1.0313370042365602
11-3051.05,-0.02634046273502626,-0.23787747230479397,-0.35101902356283843,-0.7567512202088924,1.0168188525120234,1.7163677546688547
11-3051.06,-0.5088608822180959,-0.23787747230479397,-0.5873919135605425,-0.7567512202088924,1.9381091586098202,1.0313370042365602
11-3061.00,-0.9913813017011655,-0.765338789121417,-0.5873919135605425,-0.08314070183355264,1.9381091586098202,0.7984265490895802
11-3071.01,-0.9913813017011655,-0.765338789121417,-0.35101902356283843,-0.4199459610212225,1.9381091586098202,0.7984265490895802
11-3071.02,-0.6729178248423394,-1.2928001059380398,-0.816812659734785,-0.2540568035108776,1.9381091586098202,0.572366401446923
11-3071.03,-0.8321495632717525,-0.765338789121417,-0.5873919135605425,-0.7567512202088924,1.9381091586098202,0.7984265490895802
11-3111.00,-1.7971904022378917,-1.1187378713885543,-0.35101902356283843,0.922248131562477,1.9381091586098202,0.7984265490895802
11-3121.00,-1.6379586638084787,-0.5912765545719313,0.10782246878564643,1.4249425482604918,1.9381091586098202,0.572366401446923
11-3131.00,-1.6379586638084787,-0.765338789121417,1.0394097411295395,1.5908317057708368,1.9381091586098202,-0.11266434898537148
11-9013.01,0.6154116951774563,-0.5912765545719313,0.3441953587833506,-0.08314070183355264,1.9381091586098202,0.3463062538042658
11-9013.02,0.9387003762311129,-0.4119397068542796,-0.5873919135605425,-0.5858351185315674,1.9381091586098202,0.572366401446923
11-9013.03,0.6154116951774563,0.11552160996234334,-0.35101902356283843,-0.5858351185315674,1.9381091586098202,0.3463062538042658
11-9021.00,0.45617995674804335,-0.765338789121417,-0.5873919135605425,-0.4199459610212225,1.9381091586098202,0.3463062538042658
11-9031.00,-1.7971904022378917,-0.9394010236709025,0.3441953587833506,1.5908317057708368,1.3864383166350915,-0.11266434898537148
11-9032.00,-1.6379586638084787,-0.765338789121417,0.3441953587833506,1.7567208632811817,1.7560577807581599,0.11339579865728575
11-9033.00,-1.7971904022378917,-0.23787747230479397,0.5736161049575931,0.922248131562477,1.9381091586098202,0.572366401446923
11-9039.01,-1.6379586638084787,-0.06381523775530838,0.3441953587833506,-0.2540568035108776,1.3864383166350915,0.3463062538042658
11-9039.02,-0.5088608822180959,-0.4119397068542796,0.10782246878564643,0.922248131562477,1.7560577807581599,-0.5716349517750087
11-9041.00,-0.02634046273502626,0.6429829267789663,-0.35101902356283843,-0.7567512202088924,1.9381091586098202,-0.11266434898537148
11-9041.01,-0.8321495632717525,1.3445064781450748,-0.35101902356283843,-0.4199459610212225,1.7560577807581599,-0.5716349517750087
11-9051.00,-0.19039740535926986,-0.9394010236709025,-0.35101902356283843,0.751332029885152,1.9381091586098202,0.7984265490895802
11-9061.00,-1.6379586638084787,-0.765338789121417,-0.121598277388596,0.751332029885152,1.9381091586098202,0.3463062538042658
11-9071.00,-0.6729178248423394,-0.765338789121417,-0.35101902356283843,0.08274845567679229,1.9381091586098202,0.572366401446923
11-9081.00,-0.8321495632717525,-0.9394010236709025,-0.5873919135605425,0.5854428723748071,1.9381091586098202,0.7984265490895802
