SOC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11-1011.00,1.7918650188096894,1.3287999688532137,2.0112088253218525,2.5442983445895164,0.9256178133989917,0.815230434903732,0.4878136136537981,1.1490267124075753,1.737187771070438,0.5853725250871462,0.851144281748507,0.2156496208585138,1.1175006433886205,1.7327122857498087,1.579673697377832,1.0431291340048572
11-1011.03,0.8639187358249149,1.0193723954350742,1.593431085571414,1.9070505483255469,0.555421731966517,-0.5509263169484759,-0.08637728219249423,-0.10330680603142338,0.17945787058352053,0.6670268836618379,-0.6702171238907023,-1.0139484324796295,0.5930420356796104,0.9888759012541439,1.8113080713044116,0.7947711695624833
11-1021.00,0.8381424501864472,0.32316035524426223,0.897134852654018,1.8104978519219155,0.061826956723217315,0.519845191260011,0.3083789587018315,0.643276637653364,0.7607003707652062,0.2859732103132783,0.4526924850334747,-0.5819274948202824,-0.07445073776822206,0.21749002103642048,0.27409813524620585,0.29805524067773875
11-2011.00,0.631932165078719,1.0451580265532543,1.4820236883046307,0.7291076522012414,1.1415655275679333,0.0583057480666982,0.5416440101393885,0.33019325804361427,0.80719977077974,1.1841711546348797,0.34402381320210174,0.18241724103856471,-0.3843580968690009,0.35523749964672807,0.9900589273829051,0.03195742163233865
11-2021.00,1.1990104491249727,0.8130873464896502,1.398468140354545,1.3856659877459365,-0.18497043089843254,-0.7540036719535337,0.7210786650913543,-0.416390185641173,0.016709970532647882,0.8847718398610117,-0.23554243656521676,-0.3493008360806328,-0.3843580968690009,-0.08555443190625814,1.326981653094293,0.24483567686865843
11-2022.00,1.276339306040369,1.4577281244441067,2.094764373271941,1.7718767733604637,0.6479707523246336,-0.07092529602742934,0.7749090615769447,0.6191933007603068,1.202444670903286,1.5924429475083357,0.5613611568648478,-1.1136455719394798,0.7360762014184306,1.0715243884203294,1.2848663123803685,0.4931936413110307
11-2031.00,1.224786734763438,1.5866562800349977,2.317579167805508,1.2504922127808518,0.8330687930408724,0.7044609685373375,1.3490999574232378,-0.2478068273897696,0.38870517064892707,1.4019161108340559,0.851144281748507,0.44827627959816047,1.4274080024893994,0.7133809440335288,0.33727114631709154,-0.1277012697949008
11-3011.00,0.2968404517786624,0.16844656853519255,0.5907645101703655,0.5746233379554305,0.49372238506110316,0.4644604580768146,0.4519266826634048,1.1731100493006346,1.0164470708451487,0.5581544055622498,0.9960358441903365,-0.28283607644073455,0.950627450026664,0.5480839697011601,0.6952515423854407,0.315795095280765
11-3021.00,0.14218273794786626,0.2973747241260845,0.9249867019707158,0.9608341235699577,0.5862714054192225,-0.12631002921062742,0.5237005446441915,0.13752656289915263,0.3654554706416601,0.5581544055622498,0.4526924850334747,0.8138324576176095,0.8075932842878417,-0.30595039768275123,0.3793864870310151,0.6883320419443242
11-3031.01,1.1990104491249727,1.5608706489168176,1.2592088937710662,1.3663554484652107,0.555421731966517,-0.25554107330475495,0.2186616312258486,0.37835993182973077,1.202444670903286,1.1297349155850869,1.249596078463536,1.3455505347368069,1.594281195851358,0.46543548253497463,0.40044415738797634,1.3447066622563097
