SOC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11-1011.00,3.213394166400426,0.16668300403816952,2.386527057487168,1.4697254590758417,1.0936263551432297,2.8056889291826024,0.1449330705003802,0.37667111258913727,-0.20221195130304645,-0.8422358790105385,-0.536534481403617,-0.06728539025132442,0.39925646433798817,-0.7573666781322382,0.5797441155471726,-0.9575895029403851,-0.6822650647809885,-0.4814150871202151,0.9713796449473726,1.0415589563311365,-0.31958022623511034,-0.371216656954155,0.5403120510319204,0.5794341715873995,0.7826334899865774,-0.21535971650592364,0.3760873658358256,0.19232600471387543,0.39762640155762147,0.9374427499673826,1.7815503904812602,-0.19747264813676155,0.8112589658756819
11-1011.03,1.6105944332624957,0.14004528301376637,1.454030687865963,1.9847885876692934,0.5190971140825746,1.0578235973121468,0.5447009680534387,-0.11449776852934482,0.8077568674161332,-0.1560644159231494,1.1081585560431464,1.7136092068554472,1.9945538198977248,0.259107053851768,0.2993557241574734,0.7487474442454062,0.5906437429863907,0.8707244598532102,0.6093297441958715,0.9751761829651059,1.1807869978332644,-0.5126543042099608,-0.6208859856134866,1.0602568955747742,0.48360061453591124,-0.28353444726115234,0.38905299044748776,0.8222027116758206,0.7588777301702446,0.04663635578478385,0.6151301559214608,-0.8248530393362238,0.7657935952209766
11-1021.00,2.3519899829478215,0.9944742434924414,1.9892539288575626,1.7093962512006962,0.8295916700977374,2.2357328520990736,0.3013499367920716,1.4127042236030953,0.08888346499251946,0.4816643751583908,0.05347712802353557,0.30897617602790284,0.8150922078772718,0.3369924566336261,0.6952714997100738,-0.17767374805536382,-0.07519207680638414,-0.2636820707505389,0.35426637102979736,-0.1653152412512199,-0.04447338673368121,-0.22222529594777624,0.07670798813998232,0.12033003447486935,0.016568015180650764,0.13246618170886762,-0.03814255107785895,-0.42435939153696284,-0.21588554539096805,0.5691151003703232,0.6855265001458359,0.8660973977310269,0.4440298559012264
11-2011.00,1.7501480287368774,1.002907602949022,1.263071830650949,3.175527837851994,1.1014765381551364,0.5598492802918782,-0.19346367277853496,0.2572310070783186,-0.5477653735097187,0.520002868543072,-0.4557006631393371,0.6314950852907302,-0.4559687251622298,-1.0263062429124945,0.1175230477332224,-0.856434621467582,-1.0950622237413021,-0.5824057148456737,0.44027130568014705,0.8849619070562935,0.2674311454233362,-0.4660766093516694,0.04313818145980942,0.0850935331032629,1.254668413327277,0.02331601430406051,1.6908538096768237,0.35898449253849635,0.6792890035985083,-0.351380769775581,-0.2735228250033381,0.5531557287166594,3.051864510928574
11-2021.00,1.7608762920120964,0.6977991378799392,1.558306821929977,3.46482562422786,0.683384391092672,0.8539860588515481,-0.42433653707382757,0.24830387030808054,-0.2229117381785564,0.6365289425121654,0.29657444077246714,1.027444599884301,-0.6825247618026771,-1.1202770677185576,0.7386714980337785,-1.0067089280321948,-1.0590069865242162,-0.7945469336445231,0.19434545717610222,0.4190089103668539,0.5917274299676059,-0.5534091802004403,-0.14968305521643116,0.27568642354294254,1.410646577018166,0.31479735828546423,0.787347130197807,0.3438972955133857,0.02277773959621884,-0.295687587328166,0.5428658882971314,1.3174452066480395,2.155289492869416
11-2022.00,1.999446990752694,0.6699585146746897,1.445284382752774,3.3687653812839247,1.3561183643964356,1.3221001103267658,0.24583202805408183,0.44797247788563027,-0.5259105769615203,0.344160312237093,-0.20130106895995142,-0.3883036260836873,-0.14376831789469385,-0.5430633523062819,0.2956645259861056,-0.5465647843237786,-0.7006799109238595,-0.45322306038883436,0.381504850410511,0.0271412936147435,0.5824311978277097,-0.9196526624947174,-0.2078887840818441,0.7533243180533927,1.0872339883107953,0.45930775311260447,0.17002785274213383,-0.34580919472929433,0.0217259906159739,-1.1582227629904283,-0.4048672277126783,0.8697207464125539,1.1043512205746835
11-2031.00,1.5050333539236718,0.8293589596070714,1.1638517127245693,2.9483620137743687,1.407967604607638,1.1367914955252998,-0.7781250726331591,-1.2992217288537584,-0.4687806245778431,-0.6467460034029703,-1.169952105811288,-1.1204194591971177,-0.8290778806911704,-1.5596004197726951,-0.06965254194464233,-1.111542312624262,-0.9834065234082766,-0.833192261901275,0.7149763746653969,1.1174398493955071,-0.3295637690858751,-0.18497626961395952,0.13403476222872163,0.08780679566219197,1.2315366257794857,-0.5090200288871011,1.70972524123514,0.6389848167043717,0.6606104148853084,-0.8622013880814274,0.2822303456467445,-0.4487565164613658,2.5768241723188687
11-3011.00,1.9426872007254816,1.894489874581875,1.2447218788039829,-0.17985099163039445,1.252190814878736,1.7109877974796004,-0.28602565595757123,0.6031894766186771,0.1337594908062311,0.5451182887673232,-0.3594057665564655,-0.046927206504764944,0.5543633096352469,-0.04727279139504436,0.19931556311084564,-0.40454214476618244,-0.4835609882708254,-0.3872423130269758,-0.34150784435878717,-0.13380011883587,-0.4563614363551587,-0.02229195680130532,0.02623190106215807,-0.3106091780875858,0.4125888798695446,-0.4211124950475785,-0.2884487491337997,-0.03737572398290751,0.0013968723114620898,0.7991254009266826,0.4515033578097247,0.9124824009149844,0.06814268058219793
11-3021.00,1.2726870295249992,0.061452035720308475,0.2004351029461175,-0.28947842908513866,0.7986912949315669,1.7672612576082212,-1.3784061966499128,-0.7835565119204633,-1.0935634065040676,2.2813749519946245,1.1458923988388234,0.5437820890444621,-0.5430170236131471,-1.061588204596505,0.5084047231702957,-0.37508197868387505,-0.9622847070707428,-1.1305154279887726,-0.1482520423980319,0.058993947324601226,0.6021142083182996,-1.078196099136074,-0.393331574027262,0.22381336268012364,-0.23143084715178064,-0.5164500216037873,0.2952027948101616,-1.0131420076930526,-0.5236046513269996,-1.084546255675856,-0.3815741196908441,1.2203597759657083,-0.014700805199973759
11-3031.01,2.2714289820527576,-0.007501777176100341,3.7792457434622486,-0.020884727063155157,-0.576636151016862,1.4826900381158383,-1.0621366684834253,-0.7327395672443696,-0.3883797439008813,-0.011090152223934072,-0.9113960974323678,-1.021351298317474,-1.1128074120049336,-1.499301423767638,1.3641764841094444,-1.351613436499546,-1.8854539197682305,-1.3098549613191222,-0.38446493455566483,-0.3262646712787887,-0.5482434367570892,-0.7644831813208259,-0.6691265221399947,-0.3284944375970256,1.0341732451265604,-0.28353444726115234,-0.6328701795535869,-0.38949958489547554,-0.2222687486462597,-1.2918772379118608,0.5685107627955961,-1.096282909473142,-0.2635727648674655
